s  ;s        ;f        ;f       ;s       ;s     ;s    ;s    ;s    ;s    ;s
_id;productid;listprice;unitcost;supplier;status;attr1;attr2;attr3;attr4;attr5
EST-1;FI-SW-01;16.5;10;1;P;Large;;;;
EST-2;FI-SW-01;16.5;10;1;P;Small;;;;
EST-3;FI-SW-02;18.5;12;1;P;Toothless;;;;
EST-4;FI-FW-01;18.5;12;1;P;Spotted;;;;
EST-5;FI-FW-01;18.5;12;1;P;Spotless;;;;
EST-6;K9-BD-01;18.5;12;1;P;Male Adult;;;;
EST-7;K9-BD-01;18.5;12;1;P;Female Puppy;;;;
EST-8;K9-PO-02;18.5;12;1;P;Male Puppy;;;;
EST-9;K9-DL-01;18.5;12;1;P;Spotless Male Puppy;;;;
EST-10;K9-DL-01;18.5;12;1;P;Spotted Adult Female;;;;
EST-11;RP-SN-01;18.5;12;1;P;Venomless;;;;
EST-12;RP-SN-01;18.5;12;1;P;Rattleless;;;;
EST-13;RP-LI-02;18.5;12;1;P;Green Adult;;;;
EST-14;FL-DSH-01;58.5;12;1;P;Tailless;;;;
EST-15;FL-DSH-01;23.5;12;1;P;With tail;;;;
EST-16;FL-DLH-02;93.5;12;1;P;Adult Female;;;;
EST-17;FL-DLH-02;93.5;12;1;P;Adult Male;;;;
EST-18;AV-CB-01;193.5;92;1;P;Adult Male;;;;
EST-19;AV-SB-02;15.5;2;1;P;Adult Male;;;;
EST-20;FI-FW-02;5.5;2;1;P;Adult Male;;;;
EST-21;FI-FW-02;5.29;1;1;P;Adult Female;;;;
EST-22;K9-RT-02;135.5;100;1;P;Adult Male;;;;
EST-23;K9-RT-02;145.49;100;1;P;Adult Female;;;;
EST-24;K9-RT-02;255.5;92;1;P;Adult Male;;;;
EST-25;K9-RT-02;325.29;90;1;P;Adult Female;;;;
EST-26;K9-CW-01;125.5;92;1;P;Adult Male;;;;
EST-27;K9-CW-01;155.29;90;1;P;Adult Female;;;;
EST-28;K9-RT-01;155.29;90;1;P;Adult Female;;;;
